t,j1,j2,j3,j4,j5,j6
0,-0.761135,0.082673,0.742272,0.649819,0.918585,-4.02474e-05
0.303316,-0.742574,0.0717892,0.766112,0.624868,0.911791,-4.02503e-05
0.424079,-0.720767,0.057891,0.790212,0.593058,0.891877,-4.02531e-05
0.514864,-0.696818,0.0441141,0.812152,0.55667,0.875256,-4.02555e-05
0.592443,-0.671066,0.0309201,0.831619,0.517606,0.86421,-4.02582e-05
0.66242,-0.643638,0.0182285,0.848703,0.476934,0.858023,-4.02609e-05
0.72829,-0.614758,0.0060812,0.863444,0.436009,0.856446,-4.02637e-05
0.793722,-0.584765,-0.00538897,0.875869,0.39673,0.859547,-4.02663e-05
0.861482,-0.553994,-0.0161129,0.886066,0.360793,0.866964,-4.02684e-05
0.925565,-0.522675,-0.0261284,0.894186,0.328944,0.877767,-4.027e-05
0.990064,-0.490924,-0.0355228,0.900397,0.30093,0.890816,-4.02708e-05
1.05925,-0.458797,-0.044362,0.904848,0.275998,0.905151,-4.02713e-05
1.12381,-0.426348,-0.0526604,0.907659,0.253414,0.920134,-4.02717e-05
1.18258,-0.393658,-0.0603928,0.908934,0.232694,0.935392,-4.02721e-05
1.23681,-0.360818,-0.0675209,0.908775,0.213557,0.950681,-4.02726e-05
1.28784,-0.327912,-0.0740121,0.907285,0.195784,0.965798,-4.02731e-05
1.33858,-0.295008,-0.0798461,0.904572,0.179149,0.980548,-4.02737e-05
1.39096,-0.26216,-0.0850143,0.900746,0.163442,0.994748,-4.02742e-05
1.44094,-0.22942,-0.0895202,0.895922,0.148521,1.00822,-4.02748e-05
1.48892,-0.196832,-0.0933828,0.890222,0.134304,1.02075,-4.02753e-05
1.53858,-0.164425,-0.0966368,0.883772,0.120678,1.03215,-4.0276e-05
1.59048,-0.132191,-0.0993296,0.876702,0.107388,1.04215,-4.02767e-05
1.64582,-0.100084,-0.101515,0.869144,0.0939898,1.05051,-4.02775e-05
1.70507,-0.0680291,-0.103248,0.861235,0.0799226,1.05701,-4.02784e-05
1.77018,-0.0359519,-0.104591,0.853122,0.0646618,1.06141,-4.02796e-05
1.84233,-0.00379961,-0.105615,0.844973,0.0478622,1.06342,-4.02811e-05
1.92174,0.0284512,-0.106411,0.836979,0.0293787,1.06271,-4.02836e-05
1.99384,0.060815,-0.107088,0.829359,0.00912742,1.05884,-4.02867e-05
2.05953,0.0933273,-0.107757,0.82235,-0.0131345,1.05137,-4.02901e-05
2.12812,0.126063,-0.108522,0.816205,-0.0379587,1.03986,-4.02937e-05
2.20311,0.15912,-0.109469,0.811194,-0.0661727,1.02393,-4.02973e-05
2.27448,0.192583,-0.11066,0.807599,-0.0986801,1.00329,-4.03006e-05
2.34425,0.226477,-0.112133,0.80571,-0.136255,0.977747,-4.03033e-05
2.41551,0.260763,-0.113884,0.805797,-0.179529,0.947279,-4.03061e-05
2.49361,0.29536,-0.115832,0.808068,-0.229214,0.912209,-4.03088e-05
2.57222,0.330188,-0.117796,0.812631,-0.286355,0.873382,-4.03117e-05
2.65427,0.365171,-0.11948,0.819461,-0.352363,0.832303,-4.03145e-05
2.74782,0.400242,-0.120489,0.828385,-0.428758,0.791153,-4.03172e-05
2.84707,0.435332,-0.120374,0.839101,-0.516806,0.752703,-4.03194e-05
2.95965,0.470396,-0.118664,0.851204,-0.616997,0.720156,-4.03206e-05
3.0699,0.505377,-0.114916,0.864227,-0.728017,0.696757,-4.03216e-05
3.17436,0.540132,-0.108795,0.877673,-0.845439,0.684934,-4.0323e-05
3.27569,0.574398,-0.100166,0.891057,-0.961909,0.68526,-4.03257e-05
3.38048,0.607919,-0.089075,0.903966,-1.07,0.69645,-4.0331e-05
3.48888,0.640621,-0.0755958,0.916079,-1.165,0.716719,-4.03374e-05
3.59955,0.67253,-0.059776,0.927104,-1.24434,0.744332,-4.03442e-05
3.7115,0.70357,-0.0418251,0.936796,-1.30646,0.776637,-4.03503e-05
3.82786,0.733671,-0.0220689,0.945036,-1.35169,0.810787,-4.03545e-05
3.96444,0.762841,-0.000785751,0.951785,-1.38161,0.844774,-4.03564e-05
4.51646,0.790933,0.0214174,0.957216,-1.39854,0.875401,-4.03572e-05
