t,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,
0,1.02237,-0.841098,0.972829,0.41409,2.84385,1.14573,
0.303316,1.01789,-0.808687,0.960065,0.411637,2.87501,1.12099,
0.424079,1.01466,-0.775512,0.94901,0.392926,2.90392,1.09107,
0.514864,1.01269,-0.7417,0.939729,0.373981,2.93539,1.05392,
0.592443,1.01198,-0.707393,0.932253,0.35698,2.9691,1.01075,
0.66242,1.01248,-0.672741,0.926574,0.341064,3.00408,0.962822,
0.72829,1.01413,-0.637883,0.922646,0.326063,3.03953,0.911594,
0.793722,1.01685,-0.602943,0.920391,0.312523,3.07466,0.858962,
0.861482,1.02054,-0.568026,0.919705,0.300808,3.10872,0.806738,
0.925565,1.02509,-0.533212,0.920469,0.290632,3.14114,0.755978,
0.990064,1.03041,-0.49856,0.922553,0.281214,-3.11157,0.706858,
1.05925,1.03638,-0.464108,0.925825,0.271706,-3.08313,0.659044,
1.12381,1.0429,-0.429873,0.930154,0.261517,-3.05669,0.612142,
1.18258,1.04988,-0.39586,0.935412,0.250379,-3.03225,0.565916,
1.23681,1.05722,-0.362058,0.941481,0.238236,-3.00978,0.520275,
1.28784,1.06484,-0.328449,0.948244,0.225097,-2.98931,0.475163,
1.33858,1.07266,-0.295009,0.955596,0.210965,-2.97085,0.430506,
1.39096,1.08061,-0.261709,0.963434,0.195857,-2.95444,0.386231,
1.44094,1.0886,-0.228514,0.971661,0.179846,-2.94016,0.342316,
1.48892,1.09656,-0.195391,0.980184,0.163056,-2.9281,0.298784,
1.53858,1.10444,-0.162301,0.988913,0.145589,-2.9184,0.255626,
1.59048,1.11214,-0.129204,0.997757,0.127432,-2.9112,0.212709,
1.64582,1.11961,-0.0960618,1.00663,0.108408,-2.90661,0.16974,
1.70507,1.12677,-0.0628331,1.01543,0.088249,-2.90479,0.126331,
1.77018,1.13353,-0.02948,1.02408,0.0667386,-2.90597,0.0821367,
1.84233,1.13981,0.00403255,1.03246,0.0438676,-2.91047,0.0369854,
1.92174,1.14552,0.0377351,1.04048,0.0198766,-2.91871,-0.00910632,
1.99384,1.15057,0.0716524,1.04802,3.13674,-0.210393,3.08554,
2.05953,1.15484,0.105801,1.05495,3.11161,-0.193177,3.03768,
2.12812,1.15821,0.140188,1.06115,3.08624,-0.170748,2.98863,
2.20311,1.16058,0.174805,1.06646,3.06067,-0.142638,2.93784,
2.27448,1.16181,0.209623,1.07075,3.03503,-0.108416,2.88471,
2.34425,1.16177,0.244588,1.07384,3.00971,-0.0677667,2.82868,
2.41551,1.16033,0.279613,1.07559,2.98539,-0.0206161,2.76918,
2.49361,1.15739,0.314583,1.07585,2.96268,0.0327564,2.70542,
2.57222,1.15286,0.34935,1.07448,2.94194,0.0916686,2.63619,
2.65427,1.14667,0.38375,1.0714,2.92308,0.155061,2.55988,
2.74782,1.13883,0.417606,1.06655,2.90564,0.22158,2.47477,
2.84707,1.12934,0.450741,1.05992,2.88884,0.289733,2.37951,
2.95965,1.11829,0.482994,1.05155,2.87152,0.358067,2.27365,
3.0699,1.10577,0.514227,1.04152,2.85244,0.425239,2.15871,
3.17436,1.09192,0.544338,1.02994,2.83084,0.489874,2.0391,
3.27569,1.07688,0.573273,1.01695,2.80705,0.550478,1.92154,
3.38048,1.06079,0.601016,1.00269,2.7819,0.605744,1.81254,
3.48888,1.04378,0.627583,0.987294,2.75539,0.654941,1.71635,
3.59955,1.02598,0.653002,0.970886,2.72693,0.697552,1.6354,
3.7115,1.00749,0.677318,0.953592,2.69703,0.732826,1.57044,
3.82786,0.988412,0.700588,0.935521,2.66683,0.760406,1.52005,
3.96444,0.968831,0.72287,0.916763,2.63701,0.78035,1.48187,
4.51646,0.948815,0.74423,0.8974,2.61063,0.793072,1.45165,
