id,n_primitives
0,10
1,15
2,11
3,10
4,10
5,11
6,11
7,10
8,10
9,13
10,13
11,12
12,14
13,11
14,14
15,13
16,16
17,13
18,10
19,9
20,13
21,13
22,14
23,13
24,14
25,10
26,13
27,14
28,10
29,15
30,13
31,10
32,12
33,10
34,14
35,11
36,16
37,12
38,11
39,12
40,12
41,14
42,11
43,12
44,13
45,14
46,11
47,14
48,14
49,10
50,12
51,12
52,13
53,15
54,9
55,11
56,12
57,12
58,15
59,11
60,14
61,11
62,9
63,11
64,13
65,15
66,13
67,15
68,12
69,13
70,13
71,13
72,13
73,11
74,14
75,13
76,12
77,13
78,12
79,10
80,14
81,13
82,14
83,17
84,15
85,15
86,12
87,15
88,11
89,12
90,14
91,12
92,11
93,12
94,13
95,10
96,13
97,14
98,12
99,13
100,10
101,10
102,14
103,11
104,12
105,12
106,14
107,14
108,12
109,17
110,11
111,15
112,11
113,12
114,11
115,13
116,11
117,14
118,12
119,12
120,14
121,12
122,11
123,14
124,11
125,10
126,11
127,12
128,11
129,16
130,14
131,11
132,10
133,11
134,11
135,12
136,14
137,12
138,13
139,14
140,12
141,12
142,12
143,13
144,12
145,15
146,14
147,11
148,14
149,16
150,12
151,11
152,10
153,14
154,12
155,12
156,11
157,16
158,8
159,14
160,12
161,12
162,9
163,15
164,14
165,12
166,10
167,10
168,13
169,14
170,13
171,11
172,14
173,11
174,14
175,11
176,12
177,12
178,15
179,14
180,14
181,11
182,14
183,14
184,10
185,15
186,11
187,11
188,15
189,11
190,13
191,11
192,11
193,13
194,13
195,12
196,13
197,14
198,10
199,13
200,12
