id,n_primitives
0,7
1,11
2,10
3,7
4,9
5,11
6,8
7,9
8,8
9,10
10,11
11,9
12,12
13,10
14,13
15,9
16,15
17,10
18,7
19,8
20,9
21,10
22,11
23,11
24,10
25,9
26,10
27,13
28,8
29,15
30,10
31,7
32,10
33,8
34,13
35,9
36,16
37,10
38,11
39,11
40,9
41,10
42,9
43,11
44,10
45,14
46,11
47,10
48,9
49,10
50,9
51,9
52,10
53,14
54,7
55,9
56,11
57,11
58,13
59,8
60,9
61,11
62,9
63,10
64,13
65,14
66,12
67,13
68,11
69,13
70,11
71,12
72,8
73,10
74,10
75,10
76,9
77,13
78,12
79,9
80,11
81,11
82,11
83,15
84,12
85,15
86,9
87,15
88,8
89,8
90,14
91,9
92,8
93,9
94,13
95,10
96,11
97,13
98,9
99,10
100,8
101,11
102,12
103,10
104,11
105,10
106,13
107,11
108,9
109,15
110,8
111,14
112,7
113,11
114,7
115,12
116,8
117,11
118,9
119,9
120,10
121,8
122,9
123,11
124,7
125,12
126,8
127,11
128,8
129,11
130,11
131,8
132,8
133,9
134,11
135,9
136,11
137,12
138,12
139,12
140,10
141,11
142,10
143,13
144,12
145,13
146,13
147,8
148,9
149,17
150,10
151,9
152,7
153,11
154,9
155,9
156,8
157,14
158,7
159,9
160,13
161,11
162,7
163,13
164,13
165,11
166,10
167,7
168,11
169,11
170,12
171,9
172,10
173,11
174,12
175,11
176,11
177,11
178,14
179,11
180,14
181,9
182,11
183,13
184,8
185,14
186,8
187,9
188,12
189,9
190,12
191,9
192,8
193,12
194,9
195,10
196,12
197,10
198,8
199,12
200,11
