id,n_primitives,rl_primitives,ratio
0,10,9,1.1111111111111112
1,14,18,0.7777777777777778
2,13,14,0.9285714285714286
3,13,15,0.8666666666666667
4,11,12,0.9166666666666666
5,10,12,0.8333333333333334
6,10,10,1.0
7,11,14,0.7857142857142857
8,9,11,0.8181818181818182
9,12,13,0.9230769230769231
10,10,12,0.8333333333333334
11,13,13,1.0
12,8,10,0.8
13,14,14,1.0
14,15,17,0.8823529411764706
15,12,14,0.8571428571428571
16,14,16,0.875
17,12,12,1.0
18,15,16,0.9375
19,10,9,1.1111111111111112
20,11,14,0.7857142857142857
21,11,10,1.1
22,10,10,1.0
23,10,10,1.0
24,10,13,0.7692307692307693
25,15,20,0.75
26,14,19,0.7368421052631579
27,10,10,1.0
28,13,14,0.9285714285714286
29,16,24,0.6666666666666666
30,13,14,0.9285714285714286
31,10,10,1.0
32,11,8,1.375
33,12,14,0.8571428571428571
34,11,13,0.8461538461538461
35,12,16,0.75
36,13,13,1.0
37,13,14,0.9285714285714286
38,11,9,1.2222222222222223
39,10,14,0.7142857142857143
40,13,13,1.0
41,14,16,0.875
42,13,14,0.9285714285714286
43,14,16,0.875
44,12,15,0.8
45,10,9,1.1111111111111112
46,10,9,1.1111111111111112
47,12,14,0.8571428571428571
48,13,14,0.9285714285714286
49,11,12,0.9166666666666666
50,18,19,0.9473684210526315
51,11,11,1.0
52,12,14,0.8571428571428571
53,13,13,1.0
54,12,9,1.3333333333333333
55,11,12,0.9166666666666666
56,10,10,1.0
57,13,8,1.625
58,11,12,0.9166666666666666
59,11,11,1.0
60,12,12,1.0
61,10,9,1.1111111111111112
62,10,13,0.7692307692307693
63,12,14,0.8571428571428571
64,12,17,0.7058823529411765
65,13,11,1.1818181818181819
66,14,17,0.8235294117647058
67,11,11,1.0
68,12,13,0.9230769230769231
69,11,11,1.0
70,12,12,1.0
71,9,8,1.125
72,13,14,0.9285714285714286
73,10,11,0.9090909090909091
74,15,15,1.0
75,14,15,0.9333333333333333
76,14,14,1.0
77,12,11,1.0909090909090908
78,14,15,0.9333333333333333
79,12,14,0.8571428571428571
80,10,13,0.7692307692307693
81,12,12,1.0
82,10,11,0.9090909090909091
83,9,9,1.0
84,11,10,1.1
85,12,14,0.8571428571428571
86,14,14,1.0
87,11,11,1.0
88,13,15,0.8666666666666667
89,13,14,0.9285714285714286
90,12,14,0.8571428571428571
91,10,9,1.1111111111111112
92,11,14,0.7857142857142857
93,10,12,0.8333333333333334
94,15,17,0.8823529411764706
95,10,11,0.9090909090909091
96,13,15,0.8666666666666667
97,12,14,0.8571428571428571
98,12,14,0.8571428571428571
99,11,11,1.0
100,11,11,1.0
101,13,13,1.0
102,11,14,0.7857142857142857
103,13,19,0.6842105263157895
104,15,20,0.75
105,9,11,0.8181818181818182
106,8,8,1.0
107,16,20,0.8
108,13,14,0.9285714285714286
109,9,10,0.9
110,10,10,1.0
111,13,12,1.0833333333333333
112,9,11,0.8181818181818182
113,12,10,1.2
114,13,15,0.8666666666666667
115,9,10,0.9
116,10,11,0.9090909090909091
117,14,17,0.8235294117647058
118,10,12,0.8333333333333334
119,11,9,1.2222222222222223
120,10,10,1.0
121,11,16,0.6875
122,13,12,1.0833333333333333
123,11,13,0.8461538461538461
124,8,12,0.6666666666666666
125,12,14,0.8571428571428571
126,13,14,0.9285714285714286
127,10,11,0.9090909090909091
128,13,15,0.8666666666666667
129,13,14,0.9285714285714286
130,13,15,0.8666666666666667
131,12,13,0.9230769230769231
132,11,16,0.6875
133,15,16,0.9375
134,11,11,1.0
135,13,11,1.1818181818181819
136,13,12,1.0833333333333333
137,12,10,1.2
138,11,12,0.9166666666666666
139,12,13,0.9230769230769231
140,11,14,0.7857142857142857
141,14,14,1.0
142,10,10,1.0
143,14,14,1.0
144,11,11,1.0
145,11,10,1.1
146,13,14,0.9285714285714286
147,11,14,0.7857142857142857
148,10,12,0.8333333333333334
149,13,14,0.9285714285714286
150,10,12,0.8333333333333334
151,11,12,0.9166666666666666
152,8,10,0.8
153,15,18,0.8333333333333334
154,13,15,0.8666666666666667
155,9,10,0.9
156,15,17,0.8823529411764706
157,11,10,1.1
158,12,9,1.3333333333333333
159,11,11,1.0
160,12,13,0.9230769230769231
161,12,14,0.8571428571428571
162,10,13,0.7692307692307693
163,11,10,1.1
164,15,14,1.0714285714285714
165,13,14,0.9285714285714286
166,11,11,1.0
167,13,12,1.0833333333333333
168,11,11,1.0
169,8,10,0.8
170,11,10,1.1
171,11,12,0.9166666666666666
172,14,16,0.875
173,12,15,0.8
174,10,13,0.7692307692307693
175,11,10,1.1
176,11,12,0.9166666666666666
177,11,13,0.8461538461538461
178,12,11,1.0909090909090908
179,10,10,1.0
180,11,13,0.8461538461538461
181,12,11,1.0909090909090908
182,10,12,0.8333333333333334
183,16,24,0.6666666666666666
184,14,15,0.9333333333333333
