state,action,reward,next_state,next_action
35,17,-10,36,18
36,18,-10,18,6
18,6,-10,18,6
18,6,-10,39,9
20,4,-10,20,4
20,4,-10,20,10
20,10,-10,21,6
21,6,-10,21,6
21,6,-10,22,19
22,19,-10,23,18
23,18,-10,4,11
4,11,-10,5,8
5,8,-10,26,19
26,19,-10,29,19
29,19,-10,31,19
31,19,-10,33,19
33,19,-10,34,18
34,18,-10,37,19
20,11,-10,20,11
20,11,-10,21,3
21,3,-10,21,3
21,3,-10,21,8
21,8,-10,22,15
22,15,-10,23,15
23,15,-10,4,12
4,12,-10,4,12
4,12,-10,24,19
24,19,-10,26,19
26,19,-10,27,18
27,18,-10,29,19
29,19,-10,10,8
10,8,-10,31,19
31,19,-10,32,18
32,18,-10,13,1
13,1,-10,14,8
14,8,-10,34,18
34,18,-10,37,19
20,13,-10,20,13
20,13,-10,21,13
21,13,-10,1,9
1,9,-10,22,8
22,8,-10,22,8
22,8,-10,4,17
4,17,-10,4,17
4,17,-10,6,9
6,9,-10,8,6
8,6,-10,29,19
29,19,-10,31,19
31,19,-10,33,19
33,19,-10,34,18
34,18,-10,15,18
15,18,-10,35,17
35,17,-10,38,9
38,9,-10,39,9
20,14,-10,21,17
21,17,-10,4,5
4,5,-10,24,19
24,19,-10,6,9
6,9,-10,8,6
8,6,-10,29,19
29,19,-10,32,18
32,18,-10,34,18
34,18,-10,35,17
35,17,-10,17,1
17,1,-10,17,1
17,1,-10,37,19
37,19,-10,39,9
20,12,-10,20,12
20,12,-10,21,4
21,4,-10,22,11
22,11,-10,2,16
2,16,-10,3,19
3,19,-10,3,19
3,19,-10,3,9
3,9,-10,25,19
25,19,-10,7,6
7,6,-10,29,19
29,19,-10,32,18
32,18,-10,34,18
34,18,-10,35,17
35,17,-10,36,18
36,18,-10,18,6
18,6,-10,38,9
20,18,-10,23,8
23,8,-10,24,19
24,19,-10,7,6
7,6,-10,28,19
28,19,-10,31,19
31,19,-10,14,8
14,8,-10,34,18
34,18,-10,36,18
36,18,-10,17,1
17,1,-10,17,1
17,1,-10,17,1
17,1,-10,17,1
17,1,-10,18,6
18,6,-10,38,9
20,19,-10,21,16
21,16,-10,3,7
3,7,-10,24,19
24,19,-10,26,19
26,19,-10,9,8
9,8,-10,30,19
30,19,-10,33,19
33,19,-10,15,18
15,18,-10,36,18
36,18,-10,39,9
20,7,-10,20,7
20,7,-10,21,5
21,5,-10,21,5
21,5,-10,2,18
2,18,-10,22,5
22,5,-10,2,4
2,4,-10,3,0
3,0,-10,3,0
3,0,-10,3,18
3,18,-10,4,2
4,2,-10,4,2
4,2,-10,5,8
5,8,-10,26,19
26,19,-10,28,19
28,19,-10,29,19
29,19,-10,31,19
31,19,-10,32,18
32,18,-10,32,18
32,18,-10,13,1
13,1,-10,13,1
13,1,-10,14,8
14,8,-10,34,18
34,18,-10,37,19
20,5,-10,20,5
20,5,-10,21,14
21,14,-10,1,3
1,3,-10,1,3
1,3,-10,2,13
2,13,-10,2,13
2,13,-10,2,9
2,9,-10,3,5
3,5,-10,4,6
4,6,-10,5,8
5,8,-10,7,6
7,6,-10,28,19
28,19,-10,31,19
31,19,-10,33,19
33,19,-10,35,17
35,17,-10,37,19
37,19,-10,37,19
37,19,-10,39,9
20,17,-10,2,15
2,15,-10,2,15
2,15,-10,3,4
3,4,-10,23,0
23,0,-10,23,0
23,0,-10,23,19
23,19,-10,25,19
25,19,-10,26,19
26,19,-10,27,18
27,18,-10,9,8
9,8,-10,30,19
30,19,-10,32,18
32,18,-10,33,19
33,19,-10,34,18
34,18,-10,35,17
35,17,-10,16,6
16,6,-10,16,6
16,6,-10,37,19
37,19,-10,38,9
38,9,-10,39,9
20,17,-10,23,4
23,4,-10,23,4
23,4,-10,24,19
24,19,-10,5,8
5,8,-10,6,9
6,9,-10,27,18
27,18,-10,9,8
9,8,-10,31,19
31,19,-10,32,18
32,18,-10,34,18
34,18,-10,35,17
35,17,-10,15,18
15,18,-10,36,18
36,18,-10,17,1
17,1,-10,18,6
18,6,-10,38,9
38,9,-10,39,9
20,15,-10,21,1
21,1,-10,21,1
21,1,-10,21,2
21,2,-10,21,2
21,2,-10,21,11
21,11,-10,22,7
22,7,-10,22,7
22,7,-10,23,5
23,5,-10,24,19
24,19,-10,27,18
27,18,-10,29,19
29,19,-10,12,7
12,7,-10,33,19
33,19,-10,35,17
35,17,-10,37,19
37,19,-10,38,9
38,9,-10,39,9
20,10,-10,20,10
20,10,-10,20,16
20,16,-10,2,12
2,12,-10,2,12
2,12,-10,3,6
3,6,-10,23,3
23,3,-10,24,19
24,19,-10,6,9
6,9,-10,28,19
28,19,-10,32,18
32,18,-10,34,18
34,18,-10,35,17
35,17,-10,36,18
36,18,-10,18,6
18,6,-10,38,9
20,16,-10,1,13
1,13,-10,1,13
