breakpoints,primitives,points
0,movej_fit,"[array([ 0.62708756,  0.83804197, -0.23628214,  1.6816406 , -0.89694862,
        0.79281698])]"
2594,movej_fit,"[array([ 0.62174783,  0.87593103, -0.25778223,  1.70421329, -1.01986294,
        0.69089198])]"
3072,movej_fit,"[array([ 0.62082251,  0.88322832, -0.25957533,  1.69939947, -1.04576159,
        0.68106511])]"
5156,movej_fit,"[array([ 0.61500189,  0.91014009, -0.26558923,  1.69404153, -1.14493568,
        0.62305692])]"
5860,movej_fit,"[array([ 0.61203972,  0.91597306, -0.25931935,  1.68061634, -1.17568809,
        0.61736216])]"
8197,movej_fit,"[array([ 0.60137348,  0.93172264, -0.23703351,  1.64694302, -1.27016879,
        0.59045062])]"
11485,movej_fit,"[array([ 0.57899247,  0.92513398, -0.16207141,  1.57990091, -1.36569045,
        0.59661997])]"
12026,movej_fit,"[array([ 0.57407657,  0.91958574, -0.14702174,  1.57364572, -1.37508423,
        0.59984215])]"
14567,movej_fit,"[array([ 0.55115368,  0.88748288, -0.05713073,  1.51515728, -1.40898867,
        0.62539158])]"
18077,movej_fit,"[array([ 0.51489075,  0.83097855,  0.06192626,  1.45709287, -1.43401894,
        0.66409624])]"
20805,movej_fit,"[array([ 0.48092151,  0.76718374,  0.16661501,  1.40773601, -1.41506525,
        0.70188463])]"
21658,movej_fit,"[array([ 0.46925246,  0.74761267,  0.19579281,  1.39332583, -1.40749445,
        0.71459639])]"
23550,movej_fit,"[array([ 0.44223674,  0.6991031 ,  0.26521746,  1.3592624 , -1.38101104,
        0.74295629])]"
23793,movej_fit,"[array([ 0.43790877,  0.69222556,  0.27290979,  1.35501038, -1.37478548,
        0.74674295])]"
25286,movej_fit,"[array([ 0.41241993,  0.64601487,  0.33273451,  1.31919309, -1.33638422,
        0.7728199 ])]"
27245,movej_fit,"[array([ 0.3736219 ,  0.58410887,  0.40560224,  1.26733166, -1.27387222,
        0.813057  ])]"
27598,movej_fit,"[array([ 0.36531548,  0.57285616,  0.41705474,  1.25736837, -1.25945672,
        0.82084056])]"
28904,movej_fit,"[array([ 0.33515806,  0.52995054,  0.46358141,  1.21691714, -1.20724053,
        0.85184145])]"
30445,movej_fit,"[array([ 0.29164866,  0.47641445,  0.51755265,  1.15327201, -1.1280393 ,
        0.8992689 ])]"
31868,movej_fit,"[array([ 0.24490609,  0.42968929,  0.56323307,  1.07885096, -1.04682112,
        0.95790244])]"
33159,movej_fit,"[array([ 0.19570332,  0.39060517,  0.60051454,  0.99196042, -0.96525066,
        1.02837035])]"
34340,movej_fit,"[array([ 0.1449156 ,  0.36101317,  0.6301035 ,  0.88866238, -0.88983371,
        1.116002  ])]"
35439,movej_fit,"[array([ 0.09410055,  0.34124058,  0.65147609,  0.77253483, -0.82391676,
        1.21854431])]"
36449,movej_fit,"[array([ 0.04407699,  0.33111896,  0.66640833,  0.64021908, -0.77201219,
        1.33792752])]"
37518,movej_fit,"[array([-0.00843253,  0.3302768 ,  0.67492768,  0.48833597, -0.73240839,
        1.47954548])]"
38543,movej_fit,"[array([-0.05924777,  0.33916473,  0.67732641,  0.32629852, -0.71230935,
        1.63190809])]"
39685,movej_fit,"[array([-0.11214268,  0.35928169,  0.67256387,  0.15358421, -0.71142152,
        1.79755795])]"
40800,movej_fit,"[array([-0.16272176,  0.38952535,  0.66151878, -0.01428856, -0.73343699,
        1.95652422])]"
42144,movej_fit,"[array([-0.21345543,  0.43332968,  0.64019144, -0.16730226, -0.77209736,
        2.10716331])]"
43598,movej_fit,"[array([-0.26045927,  0.48894734,  0.60974826, -0.29739986, -0.8260342 ,
        2.23753107])]"
45245,movej_fit,"[array([-0.30351154,  0.5560809 ,  0.56825915, -0.40346501, -0.88700859,
        2.34841628])]"
47078,movej_fit,"[array([-0.34111928,  0.63289128,  0.51567843, -0.48701609, -0.94951971,
        2.44131436])]"
47494,movej_fit,"[array([-0.34798914,  0.65139512,  0.50184423, -0.50132367, -0.9639328 ,
        2.45740949])]"
48938,movej_fit,"[array([-0.3705841 ,  0.71142566,  0.45734056, -0.54588938, -1.00672815,
        2.51416768])]"
50000,movej_fit,"[array([-0.38420135,  0.75555776,  0.42084965, -0.57296008, -1.03335054,
        2.54833913])]"
