breakpoints,primitives,points
0,movej_fit,"[array([ 0.3120923 ,  0.27688859,  0.40240991,  0.6676647 , -0.49953974,
       -0.52210179])]"
461,movel_fit,"[array([2200.,  408., 1000.])]"
921,movel_fit,"[array([2200.,  316., 1000.])]"
1381,movel_fit,"[array([2200.,  224., 1000.])]"
1841,movel_fit,"[array([2200.,  132., 1000.])]"
2302,movel_fit,"[array([2200.06034726,   39.81065802, 1000.00314693])]"
2701,movej_fit,"[array([-0.02283175,  0.36683266,  0.59364273, -0.02498662, -1.12311355,
        0.01450773])]"
3161,movel_fit,"[array([2266.       , -114.3153533, 1000.       ])]"
3621,movel_fit,"[array([2312.        , -193.98969045, 1000.        ])]"
4081,movel_fit,"[array([2358.       , -273.6640276, 1000.       ])]"
4541,movel_fit,"[array([2404.        , -353.33836474, 1000.        ])]"
5001,movel_fit,"[array([2450.        , -433.01270189, 1000.        ])]"
