j1,j2,j3,j4,j5,j6
-0.003370584,5.89E-05,0.0050982,-0.0049342,-0.007125778,-0.000373677
-0.003370892,5.90E-05,0.005098764,-0.004934522,-0.007127775,-0.000374598
-0.003371193,5.79E-05,0.005099493,-0.004933982,-0.007126004,-0.000374494
-0.003371498,5.73E-05,0.005100177,-0.004933816,-0.007125859,-0.000374822
-0.003371809,5.72E-05,0.005100738,-0.004934005,-0.007127272,-0.000375598
-0.003372108,5.61E-05,0.005101518,-0.004933443,-0.007125388,-0.000375439
-0.003372418,5.60E-05,0.005102086,-0.004933602,-0.007126692,-0.00037619
-0.003372722,5.51E-05,0.00510281,-0.004933226,-0.007125608,-0.000376258
-0.003373022,5.47E-05,0.005103437,-0.004933188,-0.007126053,-0.000376762
-0.003373336,5.40E-05,0.005104117,-0.004932963,-0.007125661,-0.000377032
-0.003373634,5.35E-05,0.005104773,-0.004932833,-0.007125639,-0.000377391
-0.003373942,5.29E-05,0.005105448,-0.004932675,-0.007125538,-0.00037774
-0.003374251,5.24E-05,0.00510607,-0.004932566,-0.00712569,-0.000378176
-0.003374552,5.17E-05,0.005106776,-0.004932346,-0.007125239,-0.000378403
-0.003374857,5.11E-05,0.005107426,-0.004932162,-0.0071251,-0.00037876
-0.003375164,5.07E-05,0.00510807,-0.004932086,-0.007125301,-0.00037918
-0.003375469,5.01E-05,0.005108736,-0.004931909,-0.007125143,-0.00037952
-0.003375775,4.94E-05,0.005109433,-0.004931687,-0.007124705,-0.000379765
-0.003376076,4.89E-05,0.005110056,-0.00493159,-0.007124915,-0.000380204
-0.003376386,4.83E-05,0.005110731,-0.004931424,-0.007124752,-0.000380538
-0.003376689,4.77E-05,0.005111406,-0.004931236,-0.007124493,-0.000380833
-0.003376997,4.72E-05,0.00511204,-0.004931111,-0.007124572,-0.000381247
-0.003377298,4.64E-05,0.005112753,-0.004930858,-0.00712402,-0.000381449
-0.003377607,4.62E-05,0.005113337,-0.004930928,-0.007124913,-0.000382089
-0.003377909,4.53E-05,0.005114062,-0.004930575,-0.007123951,-0.000382187
-0.003378217,4.48E-05,0.005114706,-0.004930447,-0.007123974,-0.000382578
-0.00337852,4.42E-05,0.005115374,-0.00493029,-0.007123878,-0.000382924
-0.003378825,4.37E-05,0.005116028,-0.004930143,-0.007123792,-0.000383271
-0.003379134,4.32E-05,0.00511667,-0.004930072,-0.007124099,-0.000383743
-0.003379432,4.25E-05,0.005117377,-0.004929781,-0.00712338,-0.000383902
-0.003379745,4.21E-05,0.005117987,-0.004929766,-0.007123909,-0.000384443
-0.003380043,4.12E-05,0.005118718,-0.004929377,-0.007122784,-0.000384494
