breakpoints,primitives,points
0,movej_fit,"[array([ 0.62735068,  0.84189668, -0.24971871,  1.70936801, -0.90110557,
        0.79538912])]"
8272,movec_fit,"[array([2314.29540414,  959.22867249,  702.33372784]), array([2284.73159152,  827.38662938,  677.38591183])]"
15122,movec_fit,"[array([2250.96164871,  714.32174608,  674.58850023]), array([2212.67300652,  603.15638671,  684.9878775 ])]"
15421,movec_fit,"[array([2210.92932296,  598.30442628,  685.70096756]), array([2209.20773102,  593.4700273 ,  686.32958742])]"
18335,movel_fit,"[array([2175.83519607,  497.36256415,  698.12542094])]"
22897,movel_fit,"[array([2123.46273485,  346.4302001 ,  725.63475338])]"
23196,movec_fit,"[array([2121.77537788,  341.43921513,  726.54856298]), array([2120.14977576,  336.45880217,  727.42326507])]"
30970,movec_fit,"[array([2083.68595538,  205.42715852,  745.37670685]), array([2055.7157066 ,   65.90480732,  753.81883272])]"
38414,movec_fit,"[array([2047.52802484,  -67.04351879,  740.31691106]), array([2059.77904066, -194.72840132,  702.08737845])]"
44649,movec_fit,"[array([2088.03055307, -286.26633963,  649.65521086]), array([2129.02675835, -364.50907335,  585.37856896])]"
44948,movec_fit,"[array([2131.24706643, -367.85143716,  582.07357645]), array([2133.45232795, -371.15571869,  578.77455171])]"
47315,movec_fit,"[array([2151.26424006, -396.76285037,  552.54767886]), array([2170.06554429, -421.52554998,  526.14774623])]"
47614,movec_fit,"[array([2172.48610536, -424.61800366,  522.79598442]), array([2174.84941056, -427.70748317,  519.45347602])]"
48668,movel_fit,"[array([2191.53522918, -449.81484808,  495.69083352])]"
48967,movec_fit,"[array([2194.04580453, -452.89652219,  492.173497  ]), array([2196.71207435, -455.68622588,  488.58104954])]"
49998,movel_fit,"[array([2216.28909824, -474.56739137,  462.59884223])]"
