j1,j2,j3,j4,j5,j6
-0.000553397,0.039508484,-0.007059616,-0.028099359,-0.123493194,-0.034765811
-0.000554829,0.03950849,-0.007057443,-0.028101436,-0.123496198,-0.03476598
-0.000556262,0.039508496,-0.00705527,-0.028103513,-0.123499202,-0.034766149
-0.000557694,0.039508502,-0.007053096,-0.02810559,-0.123502205,-0.034766318
-0.000559127,0.039508507,-0.007050923,-0.028107667,-0.123505209,-0.034766488
-0.000560559,0.039508513,-0.007048749,-0.028109744,-0.123508212,-0.034766657
-0.000561992,0.039508518,-0.007046575,-0.028111821,-0.123511216,-0.034766827
-0.000563425,0.039508522,-0.0070444,-0.028113897,-0.123514219,-0.034766997
-0.000564858,0.039508527,-0.007042226,-0.028115974,-0.123517222,-0.034767167
-0.000566291,0.039508531,-0.007040051,-0.02811805,-0.123520225,-0.034767337
-0.000567724,0.039508535,-0.007037876,-0.028120126,-0.123523228,-0.034767507
-0.000569158,0.039508539,-0.007035701,-0.028122202,-0.123526231,-0.034767678
-0.000570591,0.039508542,-0.007033525,-0.028124278,-0.123529233,-0.034767848
-0.000572024,0.039508546,-0.00703135,-0.028126354,-0.123532235,-0.034768019
-0.000573458,0.039508549,-0.007029174,-0.028128429,-0.123535237,-0.03476819
-0.000574891,0.039508552,-0.007026998,-0.028130505,-0.123538239,-0.03476836
-0.000576325,0.039508554,-0.007024822,-0.02813258,-0.123541241,-0.034768532
-0.000577759,0.039508557,-0.007022645,-0.028134655,-0.123544243,-0.034768703
-0.000579192,0.039508559,-0.007020469,-0.02813673,-0.123547245,-0.034768874
-0.000580626,0.03950856,-0.007018292,-0.028138805,-0.123550246,-0.034769046
-0.00058206,0.039508562,-0.007016115,-0.02814088,-0.123553248,-0.034769217
-0.000583494,0.039508563,-0.007013937,-0.028142955,-0.123556248,-0.034769389
-0.000584928,0.039508564,-0.00701176,-0.028145029,-0.12355925,-0.034769561
-0.000586363,0.039508565,-0.007009582,-0.028147104,-0.123562251,-0.034769733
-0.000587797,0.039508566,-0.007007404,-0.028149178,-0.123565251,-0.034769905
-0.000589231,0.039508566,-0.007005226,-0.028151252,-0.123568252,-0.034770078
-0.000590666,0.039508566,-0.007003048,-0.028153326,-0.123571252,-0.03477025
-0.0005921,0.039508566,-0.007000869,-0.0281554,-0.123574253,-0.034770423
-0.000593535,0.039508566,-0.006998691,-0.028157474,-0.123577253,-0.034770596
