x,y,z
2327.168873679043,1084.3884244318406,757.5637889471986
2327.165783743405,1084.3063574318605,757.51640314881
2327.1626856127255,1084.2242835031884,757.4690298874117
2327.1595792870976,1084.1422026483106,757.4216691644388
2327.1564647666155,1084.0601148697135,757.3743209813263
2327.153342051374,1083.978020169884,757.3269853395082
2327.150211141467,1083.895918551309,757.2796622404189
2327.1470720369903,1083.813810016476,757.2323516854915
2327.1439247380376,1083.7316945678717,757.1850536761597
2327.140769244706,1083.6495722079844,757.1377682138562
2327.1376055570895,1083.5674429393016,757.0904953000133
2327.134433675285,1083.4853067643114,757.0432349360633
2327.1312535993884,1083.403163685502,756.9959871234379
2327.1280653294953,1083.3210137053618,756.9487518635683
2327.1248688657033,1083.2388568263796,756.9015291578853
2327.1216642081085,1083.1566930510442,756.8543190078196
2327.1184513568082,1083.0745223818444,756.8071214148017
2327.1152303119,1082.9923448212699,756.759936380261
2327.112001073481,1082.9101603718098,756.7127639056271
2327.1087636416496,1082.827969035954,756.665603992329
2327.1055180165035,1082.7457708161924,756.6184566417954
2327.102264198141,1082.6635657150152,756.5713218554545
2327.0990021866605,1082.5813537349127,756.5241996347343
2327.0957319821614,1082.4991348783751,756.4770899810621
2327.0924535847425,1082.4169091478936,756.4299928958653
2327.0891669945026,1082.334676545959,756.3829083805706
2327.085872211542,1082.252437075062,756.3358364366044
2327.0825692359604,1082.1701907376948,756.2887770653925
2327.0792580678576,1082.0879375363484,756.2417302683607
2327.075938707334,1082.0056774735144,756.1946960469343
2327.07261115449,1081.9234105516855,756.1476744025379
2327.0692754094266,1081.8411367733534,756.1006653365962
2327.0659314722448,1081.7588561410103,756.0536688505331
2327.062579343046,1081.6765686571493,756.0066849457726
2327.0592190219318,1081.5942743242629,755.9597136237378
2327.0558505090034,1081.5119731448444,755.9127548858517
2327.0524738043637,1081.4296651213867,755.8658087335368
2327.0490889081148,1081.3473502563834,755.8188751682153
2327.0456958203586,1081.2650285523282,755.7719541913092
2327.0422945411983,1081.182700011715,755.7250458042397
2327.0388850707373,1081.1003646370375,755.678150008428
2327.0354674090786,1081.0180224307906,755.6312668052946
2327.0320415563256,1080.935673395468,755.58439619626
2327.028607512582,1080.8533175335651,755.5375381827438
2327.025165277952,1080.7709548475764,755.4906927661658
2327.02171485254,1080.6885853399967,755.443859947945
2327.0182562364503,1080.606209013322,755.3970397295002
2327.014789429788,1080.5238258700476,755.3502321122496
2327.011314432658,1080.441435912669,755.3034370976115
2327.007831245165,1080.3590391436821,755.2566546870032
2327.004339867415,1080.276635565583,755.2098848818423
2327.0008402995145,1080.1942251808684,755.1631276835451
2326.997332541568,1080.1118079920348,755.1163830935286
2326.993816593683,1080.0293840015784,755.0696511132085
2326.9902924559656,1079.9469532119965,755.0229317440007
2326.9867601285223,1079.8645156257865,754.9762249873206
2326.9832196114603,1079.7820712454454,754.9295308445828
2326.979670904887,1079.699620073471,754.8828493172022
2326.97611400891,1079.6171621123608,754.8361804065928
2326.9725489236366,1079.534697364613,754.7895241141682
2326.968975649175,1079.4522258327258,754.7428804413423
2326.9653941856336,1079.3697475191975,754.6962493895278
2326.961804533121,1079.2872624265267,754.6496309601373
2326.958206691745,1079.2047705572124,754.6030251545831
2326.954600661616,1079.1222719137534,754.5564319742771
2326.9509864428423,1079.0397664986488,754.509851420631
2326.947364035534,1078.9572543143981,754.4632834950555
2326.9437334398003,1078.8747353635013,754.4167281989617
2326.940094655751,1078.7922096484576,754.3701855337597
2326.936447683497,1078.7096771717677,754.3236555008596
2326.9327925231487,1078.6271379359314,754.277138101671
2326.9291291748164,1078.5445919434492,754.2306333376029
2326.9254576386115,1078.4620391968217,754.1841412100642
2326.9217779146447,1078.3794796985499,754.1376617204636
2326.9180900030283,1078.2969134511347,754.0911948702087
2326.914393903873,1078.2143404570777,754.0447406607076
2326.9106896172916,1078.1317607188798,753.9982990933672
2326.906977143396,1078.0491742390432,753.9518701695947
2326.9032564822987,1077.9665810200695,753.9054538907966
2326.899527634112,1077.883981064461,753.8590502583788
2326.89579059895,1077.8013743747197,753.8126592737472
2326.8920453769247,1077.7187609533482,753.7662809383071
2326.88829196815,1077.6361408028492,753.7199152534636
2326.8845303727394,1077.5535139257258,753.6735622206213
2326.8807605908073,1077.4708803244807,753.6272218411842
2326.876982622468,1077.3882400016175,753.5808941165565
2326.8731964678354,1077.3055929596396,753.5345790481413
2326.869402127024,1077.2229392010506,753.4882766373419
2326.86559960015,1077.1402787283546,753.4419868855607
2326.861788887327,1077.0576115440558,753.3957097942005
2326.8579699886714,1076.9749376506581,753.3494453646626
2326.854142904299,1076.8922570506666,753.303193598349
2326.8503076343254,1076.8095697465853,753.2569544966609
2326.8464641788664,1076.7268757409197,753.2107280609986
2326.8426125380392,1076.644175036175,753.1645142927629
2326.8387527119603,1076.561467634856,753.1183131933535
2326.834884700746,1076.4787535394687,753.0721247641704
2326.831008504514,1076.3960327525187,753.0259490066123
2326.8271241233824,1076.313305276512,752.9797859220786
2326.8232315574674,1076.2305711139545,752.9336355119675
2326.8193308068876,1076.1478302673527,752.887497777677
2326.815421871762,1076.0650827392133,752.841372720605
2326.8115047522074,1075.9823285320429,752.7952603421486
2326.807579448344,1075.8995676483485,752.7491606437047
2326.8036459602895,1075.8168000906371,752.7030736266702
2326.799704288164,1075.7340258614163,752.656999292441
2326.795754432086,1075.6512449631937,752.6109376424129
2326.791796392176,1075.5684573984768,752.5648886779812
2326.7878301685532,1075.4856631697735,752.5188524005412
2326.7838557613386,1075.4028622795925,752.472828811487
2326.779873170652,1075.3200547304416,752.4268179122136
2326.775882396614,1075.2372405248298,752.3808197041141
