timestamp,J11,J12,J13,J14,J15,J16,J21,J22,J23,J24,J25,J26
 0,   0.0000,   0.0000,   0.0000,   -.0000, -90.0000,   0.0000,   0.0000,   0.0000,   -.0000,   -.0000, -90.0000,   0.0000
 12,   0.0000,   0.0000,   0.0000,   -.0000, -90.0000,   0.0000,   0.0000,   0.0000,   -.0000,   -.0000, -90.0000,   0.0000
 24,   0.0000,   0.0000,   0.0000,   -.0000, -90.0000,   0.0000,   0.0000,   0.0000,   -.0000,   -.0000, -90.0000,   0.0000
 36,    .0001,    .0000,   -.0000,    .0001, -90.0000,   -.0002,   -.0010,    .0000,   -.0006,   -.0004, -89.9989,    .0011
 48,    .0013,    .0007,   -.0003,    .0015, -90.0004,   -.0016,   -.0083,    .0007,   -.0052,   -.0035, -89.9909,    .0087
 60,    .0043,    .0026,   -.0012,    .0052, -90.0014,   -.0055,   -.0282,    .0024,   -.0175,   -.0119, -89.9691,    .0296
 72,    .0104,    .0063,   -.0029,    .0124, -90.0032,   -.0131,   -.0670,    .0058,   -.0416,   -.0282, -89.9269,    .0703
 84,    .0203,    .0123,   -.0056,    .0242, -90.0063,   -.0256,   -.1309,    .0113,   -.0814,   -.0550, -89.8572,    .1373
 96,    .0351,    .0213,   -.0098,    .0419, -90.0109,   -.0443,   -.2263,    .0195,   -.1407,   -.0951, -89.7532,    .2372
 108,    .0558,    .0339,   -.0156,    .0666, -90.0174,   -.0704,   -.3594,    .0310,   -.2234,   -.1511, -89.6080,    .3767
 120,    .1187,    .0722,   -.0331,    .1416, -90.0369,   -.1496,   -.7638,    .0660,   -.4749,   -.3212, -89.1669,    .8007
 132,    .1187,    .0722,   -.0331,    .1416, -90.0369,   -.1496,   -.7638,    .0660,   -.4749,   -.3212, -89.1669,    .8007
 144,    .1628,    .0990,   -.0454,    .1942, -90.0506,   -.2053,  -1.0479,    .0906,   -.6514,   -.4406, -88.8573,   1.0985
 156,    .2167,    .1318,   -.0605,    .2585, -90.0673,   -.2733,  -1.3947,    .1206,   -.8671,   -.5865, -88.4790,   1.4621
 168,    .2813,    .1711,   -.0786,    .3357, -90.0874,   -.3548,  -1.8107,    .1566,  -1.1258,   -.7614, -88.0253,   1.8981
 180,    .3577,    .2176,   -.0999,    .4268, -90.1111,   -.4511,  -2.3021,    .1991,  -1.4313,   -.9681, -87.4894,   2.4133
 192,    .4467,    .2718,   -.1248,    .5331, -90.1388,   -.5634,  -2.8753,    .2487,  -1.7877,  -1.2091, -86.8643,   3.0142
 204,    .5495,    .3343,   -.1535,    .6557, -90.1707,   -.6930,  -3.5365,    .3059,  -2.1988,  -1.4872, -86.1433,   3.7073
 216,    .6669,    .4057,   -.1863,    .7957, -90.2072,   -.8410,  -4.2910,    .3712,  -2.6678,  -1.8045, -85.3205,   4.4982
 228,    .7999,    .4866,   -.2234,    .9545, -90.2486,  -1.0088,  -5.1398,    .4446,  -3.1955,  -2.1614, -84.3949,   5.3880
 240,    .9495,    .5776,   -.2652,   1.1331, -90.2950,  -1.1975,  -6.0818,    .5261,  -3.7812,  -2.5575, -83.3676,   6.3755
 252,   1.1168,    .6794,   -.3120,   1.3326, -90.3470,  -1.4084,  -7.1108,    .6152,  -4.4210,  -2.9903, -82.2454,   7.4542
 264,   1.3026,    .7924,   -.3639,   1.5543, -90.4047,  -1.6427,  -8.2214,    .7113,  -5.1115,  -3.4573, -81.0342,   8.6184
 276,   1.5079,    .9173,   -.4212,   1.7993, -90.4685,  -1.9016,  -9.4073,    .8139,  -5.8488,  -3.9560, -79.7410,   9.8615
 288,   1.7337,   1.0547,   -.4843,   2.0687, -90.5387,  -2.1864, -10.6622,    .9224,  -6.6290,  -4.4837, -78.3724,  11.1771
 300,   1.9809,   1.2051,   -.5534,   2.3636, -90.6155,  -2.4981, -11.9799,   1.0365,  -7.4482,  -5.0378, -76.9354,  12.5584
 312,   2.5397,   1.5451,   -.7095,   3.0304, -90.7891,  -3.2028, -14.7741,   1.2782,  -9.1855,  -6.2129, -73.8881,  15.4876
 324,   2.5397,   1.5451,   -.7095,   3.0304, -90.7891,  -3.2028, -14.7741,   1.2782,  -9.1855,  -6.2129, -73.8881,  15.4876
