breakpoints,primitives,points
0,movej_fit,"[array([-0.84899467, -0.23970751,  0.58135615,  0.37814708,  1.20903987,
       -2.87619581])]"
500,movel_fit,"[array([1019.97877182, -825.02772944,  966.25092731])]"
1000,movel_fit,"[array([1017.89324136, -808.72014795,  960.07664847])]"
1500,movel_fit,"[array([1016.11990482, -792.22100851,  954.33007241])]"
2000,movel_fit,"[array([1014.66159094, -775.54558734,  949.02024083])]"
2500,movel_fit,"[array([1013.51958838, -758.71055692,  944.15439384])]"
3000,movel_fit,"[array([1012.69346461, -741.73363699,  939.73762225])]"
3500,movel_fit,"[array([1012.18099344, -724.63319367,  935.77264838])]"
4000,movel_fit,"[array([1011.97816825, -707.42783239,  932.25972206])]"
4500,movel_fit,"[array([1012.0792809 , -690.1360151 ,  929.19661656])]"
5000,movel_fit,"[array([1012.47704929, -672.77571998,  926.5787082 ])]"
5500,movel_fit,"[array([1013.1627789 , -655.36415315,  924.39912271])]"
6000,movel_fit,"[array([1014.12654571, -637.91751562,  922.64893221])]"
6500,movel_fit,"[array([1015.35739026, -620.45082437,  921.31738718])]"
7000,movel_fit,"[array([1016.84351383, -602.97778368,  920.39216936])]"
7500,movel_fit,"[array([1018.57247002, -585.51070174,  919.85965314])]"
8000,movel_fit,"[array([1020.53134583, -568.0604466 ,  919.70516467])]"
8500,movel_fit,"[array([1022.70692827, -550.63643583,  919.91323015])]"
9000,movel_fit,"[array([1025.08585338, -533.24665438,  920.46780648])]"
9500,movel_fit,"[array([1027.65473574, -515.89769593,  921.35248955])]"
10000,movel_fit,"[array([1030.4002777 , -498.59482317,  922.55069695])]"
10500,movel_fit,"[array([1033.30935816, -481.34204338,  924.04582393])]"
11000,movel_fit,"[array([1036.36910167, -464.14219566,  925.82137217])]"
11500,movel_fit,"[array([1039.56692901, -446.9970467 ,  927.86105261])]"
12000,movel_fit,"[array([1042.89059111, -429.90739199,  930.14886411])]"
12500,movel_fit,"[array([1046.32818814, -412.87315966,  932.66915034])]"
13000,movel_fit,"[array([1049.86817612, -395.89351391,  935.40663769])]"
13500,movel_fit,"[array([1053.49936327, -378.96695545,  938.34645723])]"
14000,movel_fit,"[array([1057.21089804, -362.09141647,  941.47415323])]"
14500,movel_fit,"[array([1060.99225119, -345.26434764,  944.77568127])]"
15000,movel_fit,"[array([1064.83319318, -328.48279573,  948.23739779])]"
15500,movel_fit,"[array([1068.7237687 , -311.74347016,  951.84604324])]"
16000,movel_fit,"[array([1072.65426907, -295.04279829,  955.58872024])]"
16500,movel_fit,"[array([1076.61520348, -278.37696926,  959.4528677 ])]"
17000,movel_fit,"[array([1080.59726924, -261.74196743,  963.42623167])]"
17500,movel_fit,"[array([1084.59132139, -245.13359683,  967.49683334])]"
18000,movel_fit,"[array([1088.58834132, -228.54749894,  971.65293443])]"
18500,movel_fit,"[array([1092.57940436, -211.97916609,  975.88299983])]"
19000,movel_fit,"[array([1096.55564603, -195.42395343,  980.1756579 ])]"
