breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 930.72977487, -506.72253554,  177.49418547])]","[array([-0.58462074, -0.04181324, -0.22724816, -0.23872888, -1.71494924,
        2.14042557])]"
124,movel_fit,"[array([ 930.70685661, -504.17452894,  177.4872986 ])]","[array([-0.58278586, -0.04345054, -0.2288722 , -0.23904822, -1.71495854,
        2.1400297 ])]"
249,movel_fit,"[array([ 930.68007601, -501.60600286,  177.48089023])]","[array([-0.58095225, -0.04514422, -0.23054344, -0.23939971, -1.71492644,
        2.13967741])]"
374,movel_fit,"[array([ 930.64960298, -499.03750585,  177.47501682])]","[array([-0.57913558, -0.04688355, -0.2322507 , -0.23978273, -1.71484947,
        2.13936151])]"
499,movel_fit,"[array([ 930.6154372 , -496.46903793,  177.46967636])]","[array([-0.57733574, -0.04866873, -0.23399398, -0.24019699, -1.7147276 ,
        2.13908186])]"
624,movel_fit,"[array([ 930.57757828, -493.90059911,  177.46486599])]","[array([-0.57555261, -0.05049992, -0.23577325, -0.24064222, -1.71456081,
        2.13883837])]"
749,movel_fit,"[array([ 930.5360257 , -491.33218937,  177.46058206])]","[array([-0.57378611, -0.05237731, -0.23758851, -0.24111816, -1.71434907,
        2.13863093])]"
874,movel_fit,"[array([ 930.49077878, -488.76380587,  177.45682011])]","[array([-0.57203612, -0.05430108, -0.23943976, -0.24162453, -1.71409238,
        2.13845942])]"
999,movel_fit,"[array([ 930.44183674, -486.19544676,  177.45357483])]","[array([-0.57030255, -0.0562714 , -0.24132698, -0.24216109, -1.71379071,
        2.13832376])]"
1124,movel_fit,"[array([ 930.38919874, -483.62711206,  177.45084012])]","[array([-0.56858531, -0.05828845, -0.2432502 , -0.24272759, -1.71344406,
        2.13822384])]"
1249,movel_fit,"[array([ 930.33286384, -481.0588018 ,  177.44860908])]","[array([-0.5668843 , -0.06035242, -0.2452094 , -0.24332379, -1.71305241,
        2.13815958])]"
1374,movel_fit,"[array([ 930.27283102, -478.49051601,  177.44687396])]","[array([-0.56519944, -0.06246348, -0.24720461, -0.24394944, -1.71261575,
        2.13813089])]"
1499,movel_fit,"[array([ 930.20909919, -475.92225473,  177.44562621])]","[array([-0.56353064, -0.0646218 , -0.24923583, -0.24460433, -1.71213408,
        2.13813767])]"
1624,movel_fit,"[array([ 930.14166719, -473.35401798,  177.44485645])]","[array([-0.56187782, -0.06682758, -0.25130309, -0.24528822, -1.7116074 ,
        2.13817985])]"
1749,movel_fit,"[array([ 930.0705338 , -470.78580581,  177.44455448])]","[array([-0.5602409 , -0.06908099, -0.25340641, -0.2460009 , -1.7110357 ,
        2.13825734])]"
