t,j1,j2,j3,j4,j5,j6
0,-0.270833,0.487414,0.135797,-0.00130906,0.946399,-0.000480875
0.207973,-0.26046,0.482914,0.142458,0.00147727,0.944852,-0.000480876
0.303056,-0.25055,0.478593,0.148848,0.00990223,0.944538,-0.000480876
0.376405,-0.24111,0.474436,0.155011,0.023977,0.945362,-0.000480875
0.447423,-0.232144,0.47044,0.160997,0.0436515,0.947275,-0.000480873
0.517916,-0.223649,0.466606,0.16686,0.0687967,0.950259,-0.000480871
0.596477,-0.215611,0.46294,0.172657,0.0991722,0.95432,-0.000480867
0.674837,-0.208004,0.459454,0.17845,0.134389,0.959469,-0.000480863
0.764835,-0.200781,0.456162,0.184299,0.17388,0.965701,-0.000480859
0.850763,-0.193874,0.453075,0.19026,0.216876,0.972966,-0.000480856
0.941779,-0.187192,0.450199,0.196374,0.262409,0.981144,-0.000480854
1.02436,-0.180621,0.447534,0.202665,0.309341,0.990021,-0.000480854
1.10483,-0.174032,0.44507,0.209125,0.356425,0.999282,-0.000480856
1.17621,-0.167287,0.442785,0.215712,0.402373,1.00852,-0.00048086
1.24857,-0.160248,0.440651,0.222344,0.445936,1.01725,-0.000480865
1.3257,-0.152789,0.438636,0.228896,0.485953,1.02497,-0.000480872
1.39803,-0.144794,0.436708,0.235205,0.521389,1.03118,-0.000480881
1.46966,-0.136163,0.43484,0.241074,0.551293,1.03539,-0.000480892
1.54412,-0.126807,0.43301,0.246276,0.574739,1.03719,-0.000480906
1.62254,-0.116642,0.431205,0.250566,0.590722,1.03617,-0.000480923
1.70735,-0.105584,0.429428,0.253686,0.598019,1.03199,-0.000480944
1.79214,-0.0935206,0.427694,0.255392,0.595046,1.02432,-0.000480969
1.88588,-0.0803125,0.426047,0.255463,0.579664,1.01291,-0.000480999
1.98621,-0.0657779,0.424573,0.253735,0.549037,0.997699,-0.000481033
2.09446,-0.0496695,0.423433,0.250124,0.499558,0.979069,-0.00048107
2.21121,-0.0316941,0.422906,0.244652,0.427068,0.958293,-0.000481108
2.33573,-0.0115997,0.423443,0.23747,0.327895,0.93816,-0.000481145
2.46484,0.0106436,0.425674,0.228889,0.201224,0.923329,-0.000481182
2.59363,0.0345741,0.430269,0.219374,0.0526329,0.919477,-0.000481221
2.72238,0.0591196,0.437592,0.209471,-0.104243,0.930496,-0.000481263
2.85988,0.0828566,0.447346,0.199667,-0.251665,0.955453,-0.000481306
3.00265,0.104604,0.458546,0.190292,-0.375612,0.988683,-0.000481351
3.14497,0.123769,0.469846,0.181581,-0.469631,1.02299,-0.000481396
3.28484,0.140329,0.479916,0.173769,-0.533304,1.05262,-0.00048144
3.42333,0.154477,0.487574,0.167188,-0.568292,1.07384,-0.00048148
3.55823,0.16629,0.491821,0.162282,-0.57553,1.08421,-0.000481512
3.7021,0.175575,0.49198,0.159531,-0.554057,1.08183,-0.000481535
3.84987,0.181848,0.487905,0.159367,-0.500638,1.06531,-0.000481547
4.00595,0.184457,0.480085,0.162198,-0.409692,1.03453,-0.000481553
4.17105,0.182886,0.46971,0.168511,-0.274899,0.992668,-0.000481557
4.34006,0.177465,0.458771,0.178665,-0.0958181,0.94871,-0.00048156
4.50807,0.170193,0.449669,0.192141,0.11131,0.915833,-0.000481564
4.69166,0.164249,0.443946,0.206979,0.312895,0.901815,-0.000481567
4.88921,0.162134,0.441552,0.2204,0.477043,0.902493,-0.000481567
5.09835,0.164734,0.441588,0.229818,0.588917,0.907829,-0.000481557
5.38636,0.171958,0.443282,0.232998,0.644907,0.909899,-0.000481525
5.48684,0.183447,0.446334,0.228128,0.641815,0.905276,-0.000481459
5.73184,0.198956,0.450996,0.214635,0.57449,0.895656,-0.000481362
5.9781,0.218739,0.458291,0.193315,0.43795,0.889186,-0.000481253
7.16265,0.243175,0.470104,0.165721,0.235568,0.901354,-0.000481153
