breakpoints,primitives,p_bp,q_bp
36999,movel,"[array([ -92.22365717, 1280.00062656, 1846.58147792])]","[array([-0.95667372, -0.21898908, -2.92003983, -1.86212751, -1.61430275,
        0.20110743])]"
37999,movel,"[array([ -88.51395785, 1263.9905195 , 1850.85478041])]","[array([-0.9480658 , -0.20969823, -2.92079996, -1.85092129, -1.63034461,
        0.19292665])]"
38999,movel,"[array([ -84.09276134, 1246.05324072, 1850.59556929])]","[array([-0.93789814, -0.20058268, -2.9221379 , -1.83518692, -1.65112889,
        0.18214604])]"
39999,movel,"[array([ -78.54386939, 1226.79403928, 1846.44481072])]","[array([-0.92721233, -0.19181273, -2.9237952 , -1.81587652, -1.6756275 ,
        0.16948132])]"
40999,movel,"[array([ -71.87859483, 1207.36944027, 1840.42565603])]","[array([-0.91730985, -0.18359188, -2.92516368, -1.79523922, -1.70154022,
        0.15632702])]"
41999,movel,"[array([ -64.56445147, 1189.06686539, 1835.44473236])]","[array([-0.90918859, -0.17590323, -2.92564058, -1.77619422, -1.72591367,
        0.14432144])]"
42999,movel,"[array([ -57.27439115, 1172.68385219, 1834.00685586])]","[array([-0.90305069, -0.16837613, -2.92502718, -1.7610233 , -1.74636978,
        0.13462394])]"
43999,movel,"[array([ -50.50278849, 1158.36121175, 1837.52881047])]","[array([-0.89851339, -0.16043471, -2.92355233, -1.75082727, -1.76165892,
        0.12771601])]"
44999,movel,"[array([ -44.48423284, 1145.98153632, 1846.62411737])]","[array([-0.89514191, -0.15156558, -2.92165301, -1.74605975, -1.77114236,
        0.1237777 ])]"
45999,movel,"[array([ -39.53577299, 1135.69840441, 1861.43454429])]","[array([-0.89266918, -0.14162944, -2.91973746, -1.74710458, -1.77413292,
        0.12301331])]"
46999,movel,"[array([ -36.3260754 , 1127.99132247, 1881.75027419])]","[array([-0.89087631, -0.13099315, -2.91791773, -1.75424112, -1.76995768,
        0.12557895])]"
47999,movel,"[array([ -35.63360057, 1123.27223863, 1907.33972447])]","[array([-0.889584  , -0.12024415, -2.91593684, -1.76753214, -1.75824301,
        0.1314881 ])]"
48999,movel,"[array([ -37.91654195, 1121.59008296, 1937.79873195])]","[array([-0.88881221, -0.10994055, -2.91343621, -1.78665266, -1.73914363,
        0.14056782])]"
49999,movel,"[array([ -42.94155651, 1122.31786828, 1971.38335022])]","[array([-0.88863133, -0.10056514, -2.91031787, -1.80991766, -1.71432246,
        0.1519638 ])]"
