breakpoints,primitives,points
0,movej_fit,"[array([ 1.76357641,  1.37798122, -0.14204455,  1.42741929, -1.67985771,
        2.00481657])]"
5860,movec_fit,"[array([ 221.63390378, 2113.81975519,  215.74454716]), array([ 164.53844299, 2080.8034866 ,  294.66520016])]"
7475,movec_fit,"[array([ 146.3245343 , 2072.42252444,  314.79488205]), array([ 127.08777824, 2064.43517   ,  334.06517295])]"
10656,movec_fit,"[array([  86.89438197, 2049.63749662,  370.04283256]), array([  44.03934953, 2036.17973542,  403.31860154])]"
13134,movec_fit,"[array([   9.29368239, 2026.45801501,  427.80163211]), array([ -26.46039989, 2017.48330954,  450.9568743 ])]"
15828,movec_fit,"[array([ -66.18318201, 2008.3379892 ,  475.15154666]), array([-106.59010895, 1999.91032847,  498.31426017])]"
16119,movel_fit,"[array([-115.33640052, 1998.22105559,  503.35498974])]"
19636,movec_fit,"[array([-168.90381902, 1988.19109544,  532.61427489]), array([-222.87666446, 1978.91670708,  561.29776857])]"
22500,movec_fit,"[array([-266.92784602, 1971.83274299,  584.7230529 ]), array([-310.77147371, 1965.09628873,  608.48659971])]"
22632,movej_fit,"[array([ 2.01965393,  1.11795336,  0.15356068,  1.3379225 , -2.0472413 ,
        2.04108527])]"
26500,movec_fit,"[array([-373.40518895, 1955.67362441,  644.14192002]), array([-430.87083647, 1947.3198824 ,  679.47417848])]"
29868,movec_fit,"[array([-479.36238782, 1940.10619914,  712.7434217 ]), array([-525.89018521, 1932.87093908,  748.5875194 ])]"
31842,movec_fit,"[array([-551.85425133, 1928.55222184,  771.26431098]), array([-576.7400737 , 1924.17788043,  795.00669717])]"
35457,movec_fit,"[array([-618.6686077 , 1915.91026468,  842.03873951]), array([-654.99141754, 1907.29281731,  893.42259104])]"
35888,movej_fit,"[array([ 2.23951482,  0.88278153, -0.0684037 ,  1.73306029, -1.88301672,
        1.65689603])]"
41006,movec_fit,"[array([-699.49813781, 1892.18256541,  987.31208228]), array([-721.10044126, 1878.71606313, 1073.45630265])]"
41888,movec_fit,"[array([-723.46004947, 1876.35519338, 1088.6362866 ]), array([-725.23448735, 1873.99670548, 1103.82448237])]"
45363,movec_fit,"[array([-728.78878081, 1864.64971886, 1164.09700291]), array([-726.77952301, 1855.29552887, 1224.40410554])]"
48404,movec_fit,"[array([-721.42600329, 1847.12015824, 1276.98230473]), array([-712.837287  , 1838.98631119, 1329.10024927])]"
50000,movec_fit,"[array([-707.38704238, 1834.72460857, 1356.33183106]), array([-701.14764868, 1830.48822603, 1383.3244691 ])]"
