breakpoints,primitives,points,q_bp
36000,movel_fit,"[array([3255.09055048, -175.06149857,  365.43254015])]","[array([-0.04037807,  1.04795911,  0.04881516,  0.22207247,  0.90990075,
       -0.03809952])]"
37000,movel_fit,"[array([3260.57356895, -114.88320495,  378.20004379])]","[array([-0.02468669,  1.03874795,  0.0479718 ,  0.2373648 ,  0.89308488,
       -0.01338648])]"
38000,movel_fit,"[array([3264.89190764,  -51.97076158,  393.2295546 ])]","[array([-0.00855475,  1.02844173,  0.04663985,  0.25422015,  0.87617087,
        0.01184508])]"
39000,movel_fit,"[array([3267.66469375,   12.97348605,  409.43084833])]","[array([0.00792489, 1.01724605, 0.04484402, 0.27233178, 0.8587271 ,
       0.0374486 ])]"
40000,movel_fit,"[array([3268.59803819,   79.17412359,  425.61140704])]","[array([0.02464589, 1.00533326, 0.04265372, 0.29149907, 0.8400213 ,
       0.06340565])]"
41000,movel_fit,"[array([3267.54993549,  145.89977238,  440.84847512])]","[array([0.04149574, 0.99296389, 0.04020481, 0.31157433, 0.81967189,
       0.08968238])]"
42000,movel_fit,"[array([3264.51573483,  212.4785354 ,  454.84003847])]","[array([0.05836996, 0.98034242, 0.03759909, 0.33232862, 0.79781962,
       0.11603176])]"
43000,movel_fit,"[array([3259.5316708 ,  278.34205962,  467.58207254])]","[array([0.07518675, 0.96759095, 0.0348519 , 0.35348896, 0.7748324 ,
       0.14212521])]"
44000,movel_fit,"[array([3252.61275962,  343.08242315,  478.58472556])]","[array([0.09189051, 0.9548593 , 0.03201445, 0.37504315, 0.75055837,
       0.16794662])]"
45000,movel_fit,"[array([3243.83947856,  406.38624192,  486.98711529])]","[array([0.10846127, 0.94242335, 0.02929486, 0.39711391, 0.72449072,
       0.19363935])]"
46000,movel_fit,"[array([3233.37369011,  467.84744229,  492.64026236])]","[array([0.12484062, 0.93050503, 0.02679537, 0.41958564, 0.69689006,
       0.21905763])]"
47000,movel_fit,"[array([3221.33709762,  527.17490486,  495.89157375])]","[array([0.14098931, 0.91911679, 0.024423  , 0.44224595, 0.6683011 ,
       0.24397932])]"
48000,movel_fit,"[array([3207.86698924,  584.29314184,  496.97161543])]","[array([0.15690375, 0.908299  , 0.0221523 , 0.46502643, 0.63905724,
       0.26841548])]"
49000,movel_fit,"[array([3193.13204947,  638.63476137,  497.83589046])]","[array([0.17239221, 0.89776032, 0.01926769, 0.48663625, 0.61178295,
       0.29155138])]"
50000,movel_fit,"[array([3177.91086879,  692.12558967,  496.65676709])]","[array([0.18804765, 0.88847352, 0.01775374, 0.50869195, 0.58321728,
       0.31452093])]"
