breakpoints,primitives,points,q_bp
0,movej_fit,"[array([ -11.95970606, -898.3553614 ,  751.0846763 ])]","[array([-2.04590229, -0.09984726, -0.18571145, -0.86035694, -1.46159418,
        2.01774761])]"
500,movel_fit,"[array([ -18.69782415, -905.05457826,  750.84725727])]","[array([-2.05122361, -0.09284367, -0.18210206, -0.86465346, -1.45547397,
        2.01744484])]"
1000,movel_fit,"[array([ -25.58610258, -911.55375821,  750.56756279])]","[array([-2.05648046, -0.08599712, -0.17842777, -0.8685575 , -1.44939931,
        2.01702285])]"
1500,movel_fit,"[array([ -32.60881333, -917.83993662,  750.24948037])]","[array([-2.06166502, -0.07932423, -0.1746954 , -0.87205771, -1.44337657,
        2.01648524])]"
2000,movel_fit,"[array([ -39.76365784, -923.91382013,  749.89617256])]","[array([-2.06678012, -0.07282678, -0.17090509, -0.87515225, -1.43740019,
        2.01583513])]"
2500,movel_fit,"[array([ -47.04795292, -929.77564947,  749.51063799])]","[array([-2.07182813, -0.06650674, -0.16705772, -0.8778393 , -1.43146528,
        2.01507582])]"
3000,movel_fit,"[array([ -54.45929686, -935.42593938,  749.09568889])]","[array([-2.07681138, -0.06036547, -0.16315454, -0.88011761, -1.42556695,
        2.01421078])]"
3500,movel_fit,"[array([ -61.9948005 , -940.86505216,  748.65400923])]","[array([-2.08173177, -0.0544042 , -0.15919743, -0.8819865 , -1.41970082,
        2.01324376])]"
4000,movel_fit,"[array([ -69.65291932, -946.0946893 ,  748.18807058])]","[array([-2.08659195, -0.0486224 , -0.15518797, -0.88344665, -1.41386159,
        2.01217855])]"
4500,movel_fit,"[array([ -77.43098622, -951.11627696,  747.7003086 ])]","[array([-2.09139376, -0.04301955, -0.15112859, -0.88449978, -1.40804478,
        2.01101935])]"
5000,movel_fit,"[array([ -85.32671325, -955.93225352,  747.19307737])]","[array([-2.09613922, -0.03759379, -0.14702169, -0.88514931, -1.40224555,
        2.00977057])]"
5500,movel_fit,"[array([ -93.33728424, -960.54567959,  746.66875664])]","[array([-2.10083003, -0.03234236, -0.14287005, -0.88540067, -1.39645923,
        2.00843697])]"
6000,movel_fit,"[array([-101.45895415, -964.96028909,  746.12984078])]","[array([-2.10546736, -0.02726162, -0.13867685, -0.88526172, -1.39068152,
        2.00702377])]"
6500,movel_fit,"[array([-109.68805027, -969.18128491,  745.57894185])]","[array([-2.11005258, -0.0223462 , -0.13444503, -0.88474318, -1.3849077 ,
        2.00553646])]"
7000,movel_fit,"[array([-118.0199089 , -973.21495314,  745.01893545])]","[array([-2.1145866 , -0.01758951, -0.13017774, -0.88385899, -1.3791333 ,
        2.00398095])]"
7500,movel_fit,"[array([-126.44885251, -977.06888472,  744.45304463])]","[array([-2.11907001, -0.01298359, -0.12587813, -0.88262675, -1.37335406,
        2.0023636 ])]"
8000,movel_fit,"[array([-134.96791329, -980.75203777,  743.88494309])]","[array([-2.12350298, -0.00851911, -0.12154939, -0.88106812, -1.36756608,
        2.00069122])]"
8500,movel_fit,"[array([-143.57060627, -984.27558993,  743.31872261])]","[array([-2.12788628, -0.00418443, -0.11719367, -0.87920867, -1.36176467,
        1.99897063])]"
9000,movel_fit,"[array([-152.24640465, -987.65111717,  742.75927361])]","[array([-2.13221903e+00,  3.20653336e-05, -1.12814241e-01, -8.77079021e-01,
       -1.35594740e+00,  1.99720956e+00])]"
9500,movel_fit,"[array([-160.98616491, -990.89282326,  742.21200113])]","[array([-2.13650155,  0.00414465, -0.10841265, -0.87471372, -1.35011056,
        1.99541539])]"
10000,movel_fit,"[array([-169.77938369, -994.01627293,  741.68307448])]","[array([-2.14073403,  0.00816864, -0.10399003, -0.87215176, -1.34425118,
        1.9935957 ])]"
10500,movel_fit,"[array([-178.61203209, -997.03753344,  741.17959534])]","[array([-2.14491563,  0.01211924, -0.09954811, -0.86943708, -1.33836859,
        1.99175855])]"
11000,movel_fit,"[array([-187.47264224, -999.97505699,  740.70926839])]","[array([-2.14904742,  0.016014  , -0.09508617, -0.86661653, -1.33246059,
        1.98991117])]"
11500,movel_fit,"[array([ -196.34667773, -1002.84740613,   740.28073973])]","[array([-2.1531298 ,  0.01986985, -0.09060393, -0.86374114, -1.32652745,
        1.98806101])]"
12000,movel_fit,"[array([ -205.21809762, -1005.67347867,   739.90346247])]","[array([-2.15716328,  0.02370351, -0.08610086, -0.86086518, -1.32057115,
        1.98621537])]"
