timestamp,J11,J12,J13,J14,J15,J16,J21,J22,J23,J24,J25,J26
 216, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 228, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 240, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 252, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 264, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 276, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 288, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 300, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 312, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 324, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 336, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 348, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 360, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 372, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 384, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 396, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 408, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 420, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 432, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 444, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 456, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 468, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 480, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 492, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 504, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 516, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 528, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 540, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 552, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 564, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 576, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 588, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 600, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 612, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 624, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 636, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 648, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 660, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 672, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 684, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 696, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 708, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 720, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
 732, -18.0164, -49.5774, -38.5371, -70.0743, -56.8056, -47.0264,  -5.1514, -20.8368,  12.3536,  49.5194,  25.3754,  37.1199
