,num_primitives,curve
0,9,0
1,16,1
2,11,2
3,9,3
4,13,4
5,11,5
6,9,6
7,9,7
8,10,8
9,11,9
10,12,10
11,12,11
12,15,12
13,16,13
14,12,14
15,10,15
16,20,16
17,11,17
18,9,18
19,10,19
20,16,20
21,12,21
22,12,22
23,11,23
24,12,24
25,11,25
26,11,26
27,15,27
28,10,28
29,16,29
30,11,30
31,10,31
32,11,32
33,10,33
34,14,34
35,10,35
36,21,36
37,12,37
38,17,38
39,11,39
40,10,40
41,11,41
42,10,42
43,13,43
44,11,44
45,18,45
46,18,46
47,12,47
48,9,48
49,14,49
50,8,50
51,9,51
52,10,52
53,15,53
54,8,54
55,10,55
56,12,56
57,14,57
58,22,58
59,10,59
60,9,60
61,16,61
62,9,62
63,15,63
64,27,64
65,15,65
66,11,66
67,15,67
68,13,68
69,15,69
70,15,70
71,15,71
72,10,72
73,11,73
74,14,74
75,11,75
76,10,76
77,14,77
78,21,78
79,9,79
80,15,80
81,12,81
82,15,82
83,19,83
84,12,84
85,18,85
86,12,86
87,16,87
88,10,88
89,14,89
90,16,90
91,9,91
92,11,92
93,12,93
94,13,94
95,15,95
96,15,96
97,16,97
98,12,98
99,11,99
100,10,100
101,11,101
102,12,102
103,22,103
104,13,104
105,18,105
106,13,106
107,12,107
108,9,108
109,17,109
110,12,110
111,14,111
112,10,112
113,17,113
114,10,114
115,11,115
116,10,116
117,13,117
118,9,118
119,10,119
120,13,120
121,9,121
122,9,122
123,13,123
124,10,124
125,13,125
126,10,126
127,12,127
128,10,128
129,13,129
130,15,130
131,10,131
132,12,132
133,11,133
134,11,134
135,12,135
136,11,136
137,13,137
138,13,138
139,18,139
140,12,140
141,13,141
142,10,142
143,24,143
144,19,144
145,15,145
146,15,146
147,10,147
148,11,148
149,19,149
150,11,150
151,10,151
152,9,152
153,12,153
154,10,154
155,12,155
156,11,156
157,17,157
158,9,158
159,8,159
160,22,160
161,21,161
162,9,162
163,15,163
164,15,164
165,16,165
166,11,166
167,9,167
168,16,168
169,13,169
170,13,170
171,9,171
172,13,172
173,10,173
174,16,174
175,16,175
176,11,176
177,13,177
178,14,178
179,11,179
180,15,180
181,19,181
182,12,182
183,21,183
184,10,184
185,21,185
186,9,186
187,10,187
188,11,188
189,9,189
190,13,190
191,11,191
192,11,192
193,13,193
194,10,194
195,11,195
196,14,196
197,14,197
198,13,198
199,14,199
200,16,200
