,episode_rewards,episode_steps,curve
0,-396.05496963487593,42,47
1,-195.79742605507505,29,70
2,-299.93688990013516,35,180
3,-106.42040246162941,25,57
4,-284.3743221112612,34,38
5,120.18927059399834,18,72
6,163.54363399333153,17,80
7,-23.045819563277632,22,176
8,378.3731656658002,13,17
9,8.837978263024837,21,33
10,-299.93688990013516,35,12
11,-153.70052599391983,27,151
12,-23.045819563277632,22,81
13,-195.79742605507505,29,27
14,-52.74123760694985,23,67
15,-284.3743221112612,34,164
16,-175.33047339452781,28,129
17,-23.045819563277632,22,70
18,-52.74123760694985,23,51
19,8.837978263024837,21,54
20,120.18927059399834,18,136
21,-80.46711384625488,24,121
22,-383.3944107054177,41,51
23,-52.74123760694985,23,170
24,378.3731656658002,13,158
25,8.837978263024837,21,155
26,-106.42040246162941,25,107
27,-420.6045254042495,44,145
28,-299.93688990013516,35,146
29,-314.9432009101216,36,37
30,-455.8606990196979,47,163
31,80.17034353459854,19,173
32,-215.21768344956752,30,87
33,261.78226418929813,15,70
34,-370.4382341171308,40,175
35,-130.77836221546644,26,121
36,-478.5471662059553,49,85
37,-314.9432009101216,36,13
38,43.153309181138695,20,25
39,-396.05496963487593,42,108
40,-455.8606990196979,47,94
41,-233.69591510461078,31,92
42,120.18927059399834,18,3
43,-314.9432009101216,36,116
44,43.153309181138695,20,52
45,-195.79742605507505,29,189
46,120.18927059399834,18,143
47,-130.77836221546644,26,30
48,-175.33047339452781,28,163
49,210.60403777036834,16,171
50,-52.74123760694985,23,116
51,-153.70052599391983,27,158
52,-175.33047339452781,28,22
53,-175.33047339452781,28,81
54,-268.19369123473473,33,164
55,-233.69591510461078,31,93
56,-175.33047339452781,28,179
57,-52.74123760694985,23,138
58,-299.93688990013516,35,188
59,-233.69591510461078,31,69
60,-80.46711384625488,24,89
61,-251.3263235941497,32,65
62,-408.4494726713883,43,111
63,-215.21768344956752,30,159
64,8.837978263024837,21,92
65,43.153309181138695,20,91
66,-268.19369123473473,33,72
67,-383.3944107054177,41,146
68,378.3731656658002,13,9
69,43.153309181138695,20,152
70,-251.3263235941497,32,161
71,-153.70052599391983,27,181
72,-251.3263235941497,32,16
73,-52.74123760694985,23,55
74,-23.045819563277632,22,73
75,-153.70052599391983,27,198
76,-52.74123760694985,23,172
77,-522.4857957477273,53,149
78,-396.05496963487593,42,76
79,43.153309181138695,20,19
80,-314.9432009101216,36,145
81,-299.93688990013516,35,34
82,-299.93688990013516,35,96
83,-153.70052599391983,27,198
84,-370.4382341171308,40,98
85,-420.6045254042495,44,143
86,-233.69591510461078,31,118
87,-357.15359346347867,39,21
88,-80.46711384625488,24,150
89,-284.3743221112612,34,185
90,-130.77836221546644,26,172
91,163.54363399333153,17,181
92,43.153309181138695,20,88
93,-215.21768344956752,30,155
94,-106.42040246162941,25,195
95,-396.05496963487593,42,65
96,43.153309181138695,20,77
97,-370.4382341171308,40,143
98,378.3731656658002,13,101
99,-314.9432009101216,36,4
100,-420.6045254042495,44,44
101,-106.42040246162941,25,186
102,-343.5039927371985,38,151
103,-130.77836221546644,26,91
104,120.18927059399834,18,155
105,-299.93688990013516,35,38
106,-357.15359346347867,39,180
107,163.54363399333153,17,124
108,-268.19369123473473,33,34
109,-408.4494726713883,43,105
110,-432.54407286382457,45,93
111,-251.3263235941497,32,56
112,-52.74123760694985,23,97
113,517.6211921800001,11,0
114,-408.4494726713883,43,80
115,-284.3743221112612,34,107
116,-80.46711384625488,24,169
117,-329.44888081910943,37,157
118,-370.4382341171308,40,5
119,-175.33047339452781,28,76
120,-251.3263235941497,32,197
121,-357.15359346347867,39,29
122,-329.44888081910943,37,73
123,163.54363399333153,17,165
124,-130.77836221546644,26,155
125,-383.3944107054177,41,145
126,-23.045819563277632,22,31
127,-233.69591510461078,31,24
128,-153.70052599391983,27,4
129,120.18927059399834,18,118
130,-299.93688990013516,35,103
131,-357.15359346347867,39,27
132,-80.46711384625488,24,35
133,261.78226418929813,15,159
134,-420.6045254042495,44,185
135,-284.3743221112612,34,187
136,210.60403777036834,16,198
137,43.153309181138695,20,125
138,-153.70052599391983,27,122
139,-23.045819563277632,22,172
140,-80.46711384625488,24,147
141,-80.46711384625488,24,131
142,43.153309181138695,20,20
143,-251.3263235941497,32,70
144,-130.77836221546644,26,51
145,-586.006643777968,59,157
146,-153.70052599391983,27,59
147,-284.3743221112612,34,58
148,-284.3743221112612,34,142
149,-554.5221451000932,56,94
150,120.18927059399834,18,191
151,-80.46711384625488,24,50
152,-299.93688990013516,35,135
153,8.837978263024837,21,121
154,-522.4857957477273,53,200
155,120.18927059399834,18,112
156,-370.4382341171308,40,159
157,-314.9432009101216,36,163
158,80.17034353459854,19,110
159,-215.21768344956752,30,48
160,-175.33047339452781,28,104
161,43.153309181138695,20,33
162,43.153309181138695,20,140
163,-251.3263235941497,32,164
164,210.60403777036834,16,19
165,-215.21768344956752,30,184
166,-195.79742605507505,29,80
167,-284.3743221112612,34,183
168,-383.3944107054177,41,193
169,-153.70052599391983,27,164
170,-329.44888081910943,37,188
171,-153.70052599391983,27,111
172,80.17034353459854,19,79
173,-153.70052599391983,27,47
174,-175.33047339452781,28,80
175,80.17034353459854,19,194
176,-195.79742605507505,29,182
177,163.54363399333153,17,154
178,-314.9432009101216,36,115
179,-251.3263235941497,32,87
180,261.78226418929813,15,162
181,43.153309181138695,20,186
182,-554.5221451000932,56,160
183,-153.70052599391983,27,79
184,43.153309181138695,20,28
185,-251.3263235941497,32,170
186,-195.79742605507505,29,142
187,-299.93688990013516,35,141
188,261.78226418929813,15,194
189,-23.045819563277632,22,135
190,8.837978263024837,21,145
191,-80.46711384625488,24,189
192,-80.46711384625488,24,147
193,-357.15359346347867,39,123
194,210.60403777036834,16,20
195,8.837978263024837,21,20
196,-175.33047339452781,28,116
197,-543.9134945556591,55,139
198,80.17034353459854,19,138
199,-554.5221451000932,56,67
200,-233.69591510461078,31,187
201,163.54363399333153,17,92
202,-130.77836221546644,26,191
203,-80.46711384625488,24,6
204,-251.3263235941497,32,27
205,261.78226418929813,15,95
206,8.837978263024837,21,184
207,-357.15359346347867,39,39
208,-251.3263235941497,32,21
209,-284.3743221112612,34,177
210,-396.05496963487593,42,149
211,43.153309181138695,20,195
212,-23.045819563277632,22,25
213,-175.33047339452781,28,90
214,120.18927059399834,18,108
215,-329.44888081910943,37,21
216,-195.79742605507505,29,174
217,-195.79742605507505,29,142
218,-175.33047339452781,28,8
219,-23.045819563277632,22,194
220,-511.6508841641414,52,56
221,-106.42040246162941,25,21
222,-268.19369123473473,33,12
223,43.153309181138695,20,139
224,-284.3743221112612,34,139
225,-268.19369123473473,33,56
226,-233.69591510461078,31,46
227,163.54363399333153,17,104
228,-357.15359346347867,39,1
229,80.17034353459854,19,37
230,-420.6045254042495,44,141
231,-80.46711384625488,24,150
232,-153.70052599391983,27,130
233,-175.33047339452781,28,130
234,-284.3743221112612,34,115
235,684.8409780000002,9,33
236,-314.9432009101216,36,64
237,-153.70052599391983,27,91
238,261.78226418929813,15,110
239,8.837978263024837,21,93
240,-175.33047339452781,28,132
241,-52.74123760694985,23,181
242,-195.79742605507505,29,51
243,-130.77836221546644,26,107
244,-106.42040246162941,25,11
245,-175.33047339452781,28,77
246,-80.46711384625488,24,44
247,120.18927059399834,18,173
248,317.5358490992202,14,26
249,-52.74123760694985,23,119
250,-130.77836221546644,26,66
251,-314.9432009101216,36,39
252,-23.045819563277632,22,121
253,-130.77836221546644,26,27
254,-106.42040246162941,25,142
255,-314.9432009101216,36,169
256,-195.79742605507505,29,37
257,-130.77836221546644,26,142
258,-329.44888081910943,37,132
259,8.837978263024837,21,79
260,-130.77836221546644,26,198
261,-106.42040246162941,25,88
262,-106.42040246162941,25,20
263,-195.79742605507505,29,199
264,317.5358490992202,14,26
265,-617.0888433141387,62,83
266,-329.44888081910943,37,33
267,-153.70052599391983,27,4
268,-455.8606990196979,47,109
269,-343.5039927371985,38,139
270,80.17034353459854,19,99
271,-314.9432009101216,36,191
272,-299.93688990013516,35,58
273,163.54363399333153,17,54
274,-215.21768344956752,30,134
275,-329.44888081910943,37,180
276,-195.79742605507505,29,85
277,-52.74123760694985,23,137
278,43.153309181138695,20,177
279,-215.21768344956752,30,107
280,-175.33047339452781,28,189
281,-357.15359346347867,39,182
282,-153.70052599391983,27,73
283,-408.4494726713883,43,61
284,-195.79742605507505,29,124
285,-106.42040246162941,25,5
286,80.17034353459854,19,177
287,-314.9432009101216,36,176
288,-408.4494726713883,43,64
289,-284.3743221112612,34,107
290,261.78226418929813,15,122
291,-668.2809910885657,67,87
292,261.78226418929813,15,31
293,780.9344200000002,8,3
294,-106.42040246162941,25,132
295,-522.4857957477273,53,87
296,-80.46711384625488,24,181
297,-153.70052599391983,27,119
298,-314.9432009101216,36,133
299,-343.5039927371985,38,137
300,-343.5039927371985,38,69
301,-299.93688990013516,35,130
