breakpoints,primitives,points
0,movej_fit,"[array([ 1.15832346,  0.09633694,  0.16900948,  0.77250914, -1.13184436,
       -0.96297628])]"
410,movel_fit,"[array([696.47426209, 640.79751688, 970.6573086 ])]"
838,movel_fit,"[array([670.05244862, 693.75898669, 945.08292468])]"
1270,movel_fit,"[array([622.56009057, 763.11746842, 925.93047083])]"
1619,movel_fit,"[array([583.01063339, 810.22765772, 913.85443492])]"
1891,movel_fit,"[array([564.16234086, 832.20118616, 901.85766964])]"
2138,movec_fit,"[array([561.85871843, 836.00600962, 894.08468278]), array([563.19782518, 836.29372461, 885.30543142])]"
2329,movel_fit,"[array([574.10141114, 828.60347348, 867.46178726])]"
2611,movel_fit,"[array([622.90777476, 783.6680253 , 827.96268654])]"
2933,movel_fit,"[array([721.57258988, 666.09224532, 768.20310301])]"
3165,movel_fit,"[array([778.58045919, 565.90920511, 735.94903603])]"
3349,movel_fit,"[array([798.74225425, 523.53148325, 717.91730346])]"
3499,movel_fit,"[array([802.85317048, 512.65494728, 706.12258093])]"
3649,movel_fit,"[array([792.8969961 , 532.09254705, 697.2252023 ])]"
3862,movel_fit,"[array([751.06686851, 609.76863875, 692.08935176])]"
4033,movel_fit,"[array([679.82100365, 715.92945046, 703.91752436])]"
4218,movel_fit,"[array([590.67538037, 815.65804297, 731.54678341])]"
4368,movel_fit,"[array([534.1777971 , 864.30262746, 752.28487124])]"
4493,movel_fit,"[array([509.18205954, 884.12552271, 757.35813158])]"
4608,movel_fit,"[array([504.75035061, 886.66471313, 750.56880388])]"
4742,movel_fit,"[array([525.38430459, 869.34654592, 726.16159349])]"
4942,movel_fit,"[array([604.07520426, 794.6999557 , 662.9624864 ])]"
5000,movel_fit,"[array([640.21753382, 749.97071145, 640.47326572])]"
