breakpoints,primitives,points,q_bp
44711,movel_fit,"[array([1052.7064207 ,  390.94441005,  987.45820494])]","[array([ 0.13025122, -0.60497704,  0.83639721, -2.58808711, -1.05772634,
        1.23671196])]"
45252,movel_fit,"[array([1051.64960266,  402.01136588,  987.03531382])]","[array([ 0.14533769, -0.64646987,  0.86789502, -2.57521758, -0.99549976,
        1.3337072 ])]"
45776,movel_fit,"[array([1051.72139913,  412.77933436,  987.0705582 ])]","[array([ 0.16375668, -0.67736446,  0.89101483, -2.57271323, -0.93919932,
        1.44853033])]"
46308,movel_fit,"[array([1052.92202756,  423.64564295,  987.55643236])]","[array([ 0.18546746, -0.69500785,  0.90364653, -2.58377962, -0.89202074,
        1.57893989])]"
46876,movel_fit,"[array([1055.37261754,  435.02863295,  988.46561503])]","[array([ 0.2086278 , -0.69479182,  0.90248367, -2.60841071, -0.86052568,
        1.72030476])]"
47510,movel_fit,"[array([1059.31903795,  447.39164625,  989.7133489 ])]","[array([ 0.22946527, -0.67014626,  0.88286041, -2.64130353, -0.8548295 ,
        1.86366292])]"
48229,movel_fit,"[array([1064.98930973,  460.98112109,  991.03139932])]","[array([ 0.24268624, -0.61374895,  0.83969302, -2.67098962, -0.8870865 ,
        1.9933485 ])]"
48999,movel_fit,"[array([1072.0255294 ,  475.13997759,  991.84369429])]","[array([ 0.24481923, -0.52613561,  0.77434607, -2.68570953, -0.96045144,
        2.09177091])]"
49767,movel_fit,"[array([1079.55112206,  489.02043175,  991.63659335])]","[array([ 0.23875631, -0.42039872,  0.6980498 , -2.6845254 , -1.0600898 ,
        2.15760394])]"
50000,movel_fit,"[array([1081.86438449,  493.19965209,  991.20813639])]","[array([ 0.23575114, -0.38560785,  0.67378589, -2.68120461, -1.09425027,
        2.17031232])]"
